Expense_ID,Expense_Date,Category,Description,Amount,Payment_Method,Currency
1000001,2023-01-01,Groceries,Bought vegetables,50.75,Credit Card,USD
1000002,2023-01-02,Rent,Monthly apartment rent,1200.0,Bank Transfer,USD
1000003,2023-01-03,Entertainment,Movie night,30.0,Cash,USD
1000004,2023-01-04,Utilities,Electricity bill,75.2,Debit Card,EURO
1000005,2023-01-05,Transport,Uber ride to office,15.5,Cash,USD
1000006,2023-01-06,Healthcare,Doctor consultation,100.0,Credit Card,USD
1000007,2023-01-07,Shopping,Bought new shoes,85.99,Debit Card,IND
1000008,2023-01-08,Education,Online course fee,200.0,Bank Transfer,USD
1000009,2023-01-09,Groceries,Weekly grocery shopping,60.1,Credit Card,EURO
1000010,2023-01-10,Rent,Monthly rent payment,1100.0,Bank Transfer,IND
1000011,2023-01-11,Entertainment,Concert tickets,150.0,Debit Card,USD
1000012,2023-01-12,Dining,Dinner at a restaurant,45.3,Credit Card,IND
1000013,2023-01-13,Healthcare,Medicine purchase,20.0,Cash,USD
1000014,2023-01-14,Utilities,Water bill,35.5,Bank Transfer,EURO
1000015,2023-01-15,Shopping,Bought new clothes,120.75,Credit Card,USD
1000016,2023-01-16,Transport,Train ticket,12.0,Cash,EURO
1000017,2023-01-17,Groceries,Bought fruits,25.4,Debit Card,IND
1000018,2023-01-18,Entertainment,Video game purchase,60.0,Credit Card,USD
1000019,2023-01-19,Rent,Apartment rent,1000.0,Bank Transfer,USD
1000020,2023-01-20,Utilities,Gas bill,40.0,Cash,IND
1000021,2023-01-21,Shopping,Bought new jacket,150.99,Credit Card,USD
1000022,2023-01-22,Dining,Lunch with friends,60.5,Debit Card,EURO
1000023,2023-01-23,Transport,Taxi to airport,30.0,Cash,IND
1000024,2023-01-24,Groceries,Weekly grocery shopping,70.1,Credit Card,USD
1000025,2023-01-25,Healthcare,Dentist visit,120.0,Bank Transfer,USD
1000026,2023-01-26,Utilities,Internet bill,55.0,Credit Card,EURO
1000027,2023-01-27,Education,Books purchase,45.0,Debit Card,IND
